sku,type,name,url,url_image
3725100301012,,Óculos de Sol Evoke Famiglia Capo I,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-evoke-famiglia-capo-i-69134,https://OneLens.fbitsstatic.net/img/p/322652/oculos-de-sol-evoke-famiglia-capo-i-69134/322652.jpg?w=800&h=800
2091,,Óculos de Grau Absurda Calixtin 2545 594 60,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-absurda-calixtin-2545-594-60-68566,https://OneLens.fbitsstatic.net/img/p/259410/oculos-de-grau-absurda-calixtin-2545-594-60-68566/259410.jpg?w=800&h=800
458301601-P,Gafas,Bethânia - Demi Ruivo,https://www.livo.com.br/produto/bethania-demi-ruivo-154021,https://livo.fbitsstatic.net/img/p/433665/bethania-demi-ruivo-154021/433665-1.jpg?w=800&h=800
2093,,Óculos de Grau Absurda Zapallar 2538 334,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-absurda-zapallar-2538-334-68567,https://OneLens.fbitsstatic.net/img/p/259411/oculos-de-grau-absurda-zapallar-2538-334-68567/259411.jpg?w=800&h=800
20934,,Óculos de Grau Absurda Puelo 2519 367 53,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-absurda-puelo-2519-367-53-68568,https://OneLens.fbitsstatic.net/img/p/259412/oculos-de-grau-absurda-puelo-2519-367-53-68568/259412.jpg?w=800&h=800
2095,,Óculos de Grau Absurda Morumbi 2547 770 53,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-absurda-morumbi-2547-770-53-68569,https://OneLens.fbitsstatic.net/img/p/259413/oculos-de-grau-absurda-morumbi-2547-770-53-68569/259413.jpg?w=800&h=800
2622,,Óculos de Grau Adidas A653 50 6059 - Tamanho 54,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a653-50-6059-tamanho-54-68570,https://OneLens.fbitsstatic.net/img/p/259414/oculos-de-grau-adidas-a653-50-6059-tamanho-54-68570/259414.jpg?w=800&h=800
2623,,Óculos de Grau Adidas A666 40 6052,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a666-40-6052-68571,https://OneLens.fbitsstatic.net/img/p/259415/oculos-de-grau-adidas-a666-40-6052-68571/259415.jpg?w=800&h=800
2624,,Óculos de grau Adidas A675 50 6059 52,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a675-50-6059-52-68572,https://OneLens.fbitsstatic.net/img/p/259416/oculos-de-grau-adidas-a675-50-6059-52-68572/259416.jpg?w=800&h=800
4080070302021,,Óculos de Sol Evoke Mystique Preto Fosco / Marrom Degradê 55,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-evoke-mystique-preto-fosco-marrom-degrade-55-69135,https://OneLens.fbitsstatic.net/img/p/322653/oculos-de-sol-evoke-mystique-preto-fosco-marrom-degrade-55-69135/322653.jpg?w=800&h=800
3710740302021,,Óculos de Sol Evoke Famiglia Capo II 54,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-evoke-famiglia-capo-ii-54-69136,https://OneLens.fbitsstatic.net/img/p/322654/oculos-de-sol-evoke-famiglia-capo-ii-54-69136/322654.jpg?w=800&h=800
3700110301012,,Óculos de Sol Evoke The Code Black Shine,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-evoke-the-code-black-shine-69137,https://OneLens.fbitsstatic.net/img/p/322655/oculos-de-sol-evoke-the-code-black-shine-69137/322655.jpg?w=800&h=800
4355000302202,,Óculos de Sol Evoke Thunder Hight Voltage,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-evoke-thunder-hight-voltage-69138,https://OneLens.fbitsstatic.net/img/p/322656/oculos-de-sol-evoke-thunder-hight-voltage-69138/322656.jpg?w=800&h=800
